Question Number,Language,Question text,Question image URL,Difficulty,ID,Answer option 1,Answer option 2,Answer option 3,Answer option 4,Correct answer option,Explanation
1,AR,متوسط أربع أعداد طبيعية مختلفة يساوي&nbsp;٩ ، قارن بين :<div>القيمة الأولى : أصغر عدد&nbsp; &nbsp; &nbsp;</div><div>القيمة الثانية :&nbsp; &nbsp; &nbsp; &nbsp;٨</div>,,2,17872,القيمة الأولى أكبر,القيمة الثانية أكبر,القيمتان متساويتان,المعطيات غير كافية,القيمة الثانية أكبر,"<img src=""https://cdn.studyatnoon.com/public/admin/689249/cf1997e4-6567-4132-8721-a571736d8608_medium.png""><p></p>"
2,AR,أوجد مجموع ثلاثة أعداد موجبة متتالية إذا علمت أن نصف الأول = ثلث الثاني = ربع الثالث .,,3,19808,٧,٨,٩,١٠,٩,"<iframe src=""https://drive.google.com/file/d/1MvCsNHX2IbN37nFVUeHSpo6cnwIo7oCt/preview"" width=""640"" height=""480"" frameborder=""0"" allowfullscreen=""true"" allow=""autoplay""></iframe><p></p><p></p><p></p><p dir=""rtl"">من الخيارات : نختار مجموع الأعداد يقبل القسمة على ٣</p><p dir=""rtl"">٩ ÷ ٣ = ٣</p><p dir=""rtl"">العدد الأوسط ٣</p><p dir=""rtl"">فتكون الأعداد : ٢ ، ٣ ، ٤</p><p dir=""rtl"">نصف الأول ١ = ثلث الثاني ١ = ربع الثالث ١</p>"
3,AR,عمر أحمد أكبر من عمر خالد، عمر خالد أكبر من عمر عليوعمر محمد أصغر من عمر على ، قارن بين-القيمة الأولى: عمر محمد-القيمة الثانية: عمر أحمد,,3,205555,القيمة الأولى أكبر,القيمة الثانية أكبر,القيمتان متساويتان,المعطيات غير كافية,القيمة الثانية أكبر,"<iframe src=""https://drive.google.com/file/d/1E11_4rcw9JJtYqK8q42sRZtO78tGjZAs/preview"" width=""640"" height=""480"" frameborder=""0"" allowfullscreen=""true"" allow=""autoplay""></iframe><p></p>"
4,AR,,https://cdn.studyatnoon.com/public/admin/570007/f15540d4-dd75-4d3d-aba0-063359300af0_large.png,3,307362,١٥,١٦,١٨,١٤,١٨,"<img src=""https://cdn.studyatnoon.com/public/admin/569806/34d18f3e-8d97-46d2-af84-012ac0b33dd0_medium.png"">"
5,AR,إذا كان مجموع الطلاب المتفوقين في الرياضيات أو الكيمياء ٢٨ والمتفوقين في الرياضيات فقط ١٠ والمتفوقين في الرياضيات والكيمياء معا ١٢ ، فإن عدد الطلاب المتفوقين في الكيمياء فقط يساوي......؟,,3,316892,٦,٨,١٠,١٢,٦,"<img src=""https://cdn.studyatnoon.com/public/admin/569806/b207a3b1-6d3f-4ce8-8eba-67c758b43188_medium.png"">"
6,AR,,https://cdn.studyatnoon.com/public/admin/101454/d441e306-5206-415b-a237-fc6d5e46ad1d_large.jpeg,3,316970,القيمة الاولى اكبر,القيمة الثانية اكبر,القيمتان متساويتان,المعطيات غير كافية,المعطيات غير كافية,"<img src=""https://cdn.studyatnoon.com/public/admin/569806/6fad3a2a-e6a5-472d-bb1c-d7e97cec477a_medium.png"">"
7,AR,٥ أعداد صحيحة متتالية حاصل ضرب الأول في الأخير = ٦٠ ما العدد الاصغر ؟,,3,317685,٥,٦,٧,٨,٦,"<iframe src=""https://drive.google.com/file/d/1vooR8KNp48mqmTngtYxkpLLS_qyUflLg/preview"" width=""640"" height=""480"" frameborder=""0"" allowfullscreen=""true"" allow=""autoplay""></iframe><p></p><p></p><p></p><img src=""https://cdn.studyatnoon.com/public/admin/569806/b735601d-ed38-4035-8de6-7b6bdcf946f3_medium.png""><p></p>"
8,AR,اذا كان ل ، م ، ع أعداد طبيعية مختلفة،&nbsp; ل × م × ع = ٧٧,https://cdn.studyatnoon.com/public/admin/632704/2875a035-a1da-4738-a24b-d754437a1265_large.png,5,340651,٧٣,١٦٩,١٧٣,١٩٦,١٦٩,"<iframe src=""https://drive.google.com/file/d/1SH5Li_H5B2mftc3LLfbj1pPXl2PzO6bL/preview"" width=""640"" height=""480"" frameborder=""0"" allowfullscreen=""true"" allow=""autoplay""></iframe><p></p>"
9,AR,ما هي الأعداد الطبيعية الأصغر من ٤ ؟,,1,380187,{٣،٢،١،٠},{٣،٢،١},{١،٠،-١},{٤،-٢},{٣،٢،١},"<p dir=""rtl"">الأجابة (ب) لان الاعداد الطبيعية هي { ١ ، ٢ ، ٣ ، ٤ ،.....}</p><p dir=""rtl"">ليس بها { ٠ } أو الاعداد السالبة</p>"
10,AR,جميع الأعداد الكلية ما عدا الصفر تسمى مجموعة&nbsp;,,1,396593,الأعداد الطبيعية,الأعداد الكلية,الأعداد النسبية,الأعداد غير النسبية,الأعداد الطبيعية,"<p dir=""rtl"">الاعداد الطبيعية هي كل الأعداد الكلية ما عدا الصفر</p>"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,AR,EN,,,,,,,,,
Chapter,الحساب,Arithmetic,,,,,,,,,
Topic,الاعداد و خصائصها,Numbers and their properties,,,,,,,,,
Subtopic,مجموعات الأعداد,Number Sets,,,,,,,,,
